,Siruta,Localitate,Venituri,Cheltuieli
135,12126,Socodor,57703,157253
136,12144,Sagu,60705,126708
137,12206,Seitin,187979,150275
138,12224,Sepreus,58798,159946
139,12242,Sicula,61800,129401
140,12288,Silindia,189074,152968
141,12340,Simand,59893,162639
142,12368,Siria,62895,132094
143,12402,Sistarovat,190169,155661
144,12457,Taut,60988,165332
145,12509,Tarnova,63990,134787
146,12572,Varadia De Mures,191264,158354
147,12643,Vinga,62083,168025
148,12689,Varfurile,65085,137480
149,12778,Zabrani,192359,161047
150,12812,Zarand,63178,170718
151,12849,Zerind,66180,140173
152,12876,Zimandu Nou,193454,163740
153,12912,Dorobanti,64273,173411
154,12920,Frumuseni,67275,142866
155,12938,Zadareni,194549,166433
156,13169,Municipiul Pitesti,65368,176104
157,13187,Bascov,68370,145559
158,13276,Bradu,195644,169126
159,13301,Oras Mioveni,66463,178797
160,13365,Maracineni,69465,148252
161,13392,Oras Stefanesti,196739,171819
162,13490,Municipiul Campulung,67558,181490
163,13524,Valea Mare Pravat,70560,150945
164,13622,Municipiul Curtea De Arges,197834,174512
165,13668,Oras Costesti,68653,184183
166,13757,Oras Topoloveni,71655,153638
167,13819,Albestii De Arges,198929,177205
168,13891,Albestii De Muscel,69748,186876
169,13935,Albota,72750,156331
170,13999,Aninoasa,200024,179898
171,14049,Arefu,70843,189569
172,14085,Babana,73845,159024
173,14165,Baiculesti,201119,182591
174,14272,Balilesti,71938,192262
175,14352,Beleti-Negresti,74940,161717
176,14405,Berevoesti,202214,185284
177,14450,Barla,73033,194955
178,14584,Bogati,76035,164410
179,14673,Boteni,203309,187977
180,14726,Botesti,74128,197648
181,14753,Bradulet,77130,167103
182,14851,Budeasa,204404,190670
183,14922,Bughea De Jos,75223,200341
184,14940,Buzoesti,78225,169796
185,15064,Caldararu,205499,193363
186,15108,Calinesti,76318,203034
187,15233,Cateasca,79320,172489
188,15313,Cepari,206594,196056
189,15402,Cetateni,77413,205727
190,15448,Cicanesti,80415,175182
191,15493,Ciofrangeni,207689,198749
192,15554,Ciomagesti,78508,208420
193,15652,Cocu,81510,177875
194,15741,Corbeni,208784,201442
195,15830,Corbi,79603,211113
196,15901,Cosesti,82605,180568
197,15983,Cotmeana,209879,204135
198,16132,Cuca,80698,213806
199,16285,Davidesti,83700,183261
200,16329,Dambovicioara,210974,206828
201,16365,Darmanesti,81793,216499
202,16427,Dobresti,84795,185954
203,16454,Domnesti,212069,209521
204,16472,Dragoslavele,82888,219192
205,16506,Draganu,85890,188647
206,16551,Godeni,213164,212214
207,16613,Harsesti,83983,221885
208,16659,Hartiesti,86985,191340
209,16739,Izvoru,214259,214907
210,16757,Leordeni,85078,224578
211,16908,Leresti,88080,194033
212,16944,Lunca Corbului,215354,217600
213,17049,Malureni,86173,227271
214,17101,Merisani,89175,196726
215,17209,Micesti,216449,220293
216,17254,Mihaesti,87268,229964
217,17334,Mioarele,90270,199419
218,17398,Mirosi,217544,222986
219,17423,Moraresti,88363,232657
220,17496,Mosoaia,91365,202112
221,17575,Mozaceni,218639,225679
222,17619,Musatesti,89458,235350
223,17726,Negrasi,92460,204805
224,17771,Nucsoara,219734,228372
225,17824,Oarja,90553,238043
226,17851,Pietrosani,93555,207498
227,17913,Poienarii De Arges,220829,231065
228,17968,Poienarii De Muscel,91648,240736
229,18028,Poiana Lacului,94650,210191
230,18162,Popesti,221924,233758
231,18242,Priboieni,92743,243429
232,18331,Ratesti,95745,212884
233,18411,Recea,223019,236451
234,18475,Rociu,93838,246122
235,18527,Rucar,96840,215577
236,18554,Salatrucu,224114,239144
237,18581,Sapata,94933,248815
238,18670,Schitu Golesti,97935,218270
239,18741,Slobozia,225209,241837
240,18778,Stalpeni,96028,251508
241,18858,Stoenesti,99030,220963
242,18938,Stolnici,226304,244530
243,19007,Suseni,97123,254201
244,19114,Stefan Cel Mare,100125,223656
245,19141,Suici,227399,247223
246,19212,Teiu,98218,256894
247,19249,Tigveni,101220,226349
248,19338,Titesti,228494,249916
249,19392,Uda,99313,259587
250,19560,Ungheni,102315,229042
251,19631,Valea Danului,229589,252609
252,19695,Valea Iasului,100408,262280
253,19793,Vedea,103410,231735
254,19999,Vladesti,230684,255302
255,20048,Raca,101503,264973
256,20055,Vulturesti,104505,234428
257,20063,Bughea De Sus,231779,257995
258,20297,Municipiul Bacau,102598,267666
259,20313,Hemeius,105600,237121
260,20359,Letea Veche,232874,260688
261,20411,Magura,103693,270359
262,20466,Margineni,106695,239814
263,20563,Municipiul Onesti,233969,263381
264,20607,Gura Vaii,104788,273052
265,20670,Stefan Cel Mare,107790,242507
266,20778,Oras Buhusi,235064,266074
267,20821,Oras Comanesti,105883,275745
268,20876,Municipiul Moinesti,108885,245200
269,20910,Oras Slanic-Moldova,236159,268767
270,20965,Oras Targu Ocna,106978,278438
271,21007,Agas,109980,247893
272,21098,Ardeoani,237254,271460
273,21123,Asau,108073,281131
274,21196,Balcani,111075,250586
275,21249,Beresti-Bistrita,238349,274153
276,21338,Beresti-Tazlau,109168,283824
277,21418,Berzunti,112170,253279
278,21454,Barsanesti,239444,276846
279,21506,Blagesti,110263,286517
280,21560,Bogdanesti,113265,255972
281,21597,Brusturoasa,240539,279539
282,21668,Buhoci,111358,289210
283,21720,Casin,114360,258665
284,21757,Caiuti,241634,282232
285,21855,Cleja,112453,291903
286,21891,Colonesti,115455,261358
287,21971,Corbasca,242729,284925
288,22059,Cotofanesti,113548,294596
289,22111,Damienesti,116550,264051
290,22166,Oras Darmanesti,243824,287618
291,22237,Dealu Morii,114643,297289
292,22380,Dofteana,117645,266744
293,22460,Faraoani,244919,290311
294,22488,Filipeni,115738,299982
295,22576,Filipesti,118740,269437
296,22665,Gaiceana,246014,293004
297,22718,Ghimes-Faget,116833,302675
298,22781,Garleni,119835,272130
299,22834,Glavanesti,247109,295697
300,22898,Helegiu,117928,305368
301,22941,Horgesti,120930,274823
302,23047,Huruiesti,248204,298390
303,23127,Izvoru Berheciului,119023,308061
304,23207,Lipova,122025,277516
305,23289,Livezi,249299,301083
306,23350,Luizi-Calugara,120118,310754
307,23387,Magiresti,123120,280209
308,23449,Manastirea Casin,250394,303776
309,23494,Motoseni,121213,313447
310,23644,Negri,124215,282902
311,23715,Nicolae Balcescu,251489,306469
312,23797,Oituz,122308,316140
313,23868,Oncesti,125310,285595
314,23948,Orbeni,252584,309162
315,23975,Palanca,123403,318833
316,24034,Parava,126405,288288
317,24089,Parincea,253679,311855
318,24187,Pancesti,124498,321526
319,24276,Pargaresti,127500,290981
320,24338,Parjol,254774,314548
321,24427,Plopana,125593,324219
322,24524,Podu Turcului,128595,293674
323,24631,Poduri,255869,317241
324,24711,Racova,126688,326912
325,24766,Racaciuni,129690,296367
326,24837,Rachitoasa,256964,319934
327,24999,Rosiori,127783,329605
328,25068,Sascut,130785,299060
329,25148,Sanduleni,258059,322627
330,25228,Saucesti,128878,332298
331,25291,Scorteni,131880,301753
332,25362,Secuieni,259154,325320
333,25488,Solont,129973,334991
334,25521,Stanisesti,132975,304446
335,25629,Strugari,260249,328013
336,25692,Tamasi,131068,337684
337,25745,Tatarasti,134070,307139
338,25825,Targu Trotus,261344,330706
339,25861,Traian,132163,340377
340,25932,Ungureni,135165,309832
341,26029,Urechesti,262439,333399
342,26083,Valea Seaca,133258,343070
343,26118,Vultureni,136260,312525
344,26289,Zemes,263534,336092
345,26320,Sarata,134353,345763
346,26338,Buciumi,137355,315218
347,26346,Gioseni,264629,338785
348,26353,Odobesti,135448,348456
349,26361,Prajesti,138450,317911
350,26379,Itesti,265724,341478
351,26564,Municipiul Oradea,136543,351149
352,26582,Sanmartin,139545,320604
353,26653,Santandrei,266819,344171
354,26699,Oras Alesd,137638,353842
355,26742,Astileu,140640,323297
356,26804,Municipiul Beius,267914,346864
357,26840,Oras Stei,138733,356535
358,26877,Municipiul Marghita,141735,325990
359,26920,Oras Nucet,269009,349557
360,26975,Municipiul Salonta,139828,359228
361,27007,Oras Vascau,142830,328683
362,27070,Abram,270104,352250
363,27169,Abramut,140923,361921
364,27212,Auseu,143925,331376
365,27285,Avram Iancu,271199,354943
366,27329,Balc,142018,364614
367,27383,Batar,145020,334069
368,27436,Biharia,272294,357636
369,27506,Boianu Mare,143113,367307
370,27560,Borod,146115,336762
371,27631,Bors,273389,360329
372,27686,Bratca,144208,370000
373,27757,Brusturi,147210,339455
374,27846,Budureasa,274484,363022
375,27908,Buduslau,145303,372693
376,27935,Bulz,148305,342148
377,27971,Buntesti,275579,365715
378,28077,Cabesti,146398,375386
379,28139,Capalna,149400,344841
380,28193,Carpinet,276674,368408
381,28246,Cefa,147493,378079
382,28335,Ceica,150495,347534
383,28415,Cetariu,277769,371101
384,28497,Cherechiu,148588,380772
385,28530,Chislaz,151590,350227
386,28610,Ciuhoi,278864,373794
387,28665,Ciumeghiu,149683,383465
388,28709,Campani,152685,352920
389,28763,Cociuba Mare,279959,376487
390,28816,Copacel,150778,386158
391,28889,Cristioru De Jos,153780,355613
392,28941,Curatele,281054,379180
393,29001,Curtuiseni,151873,388851
394,29038,Derna,154875,358306
395,29092,Diosig,282149,381873
396,29154,Dobresti,152968,391544
397,29243,Draganesti,155970,360999
398,29341,Dragesti,283244,384566
399,29403,Finis,154063,394237
400,29467,Girisu De Cris,157065,363692
401,29519,Hidiselu De Sus,284339,387259
402,29573,Holod,155158,396930
403,29662,Husasau De Tinca,158160,366385
404,29724,Ineu,285434,389952
405,29760,Lazuri De Beius,156253,399623
406,29813,Lazareni,159255,369078
407,29902,Lugasu De Jos,286529,392645
408,29948,Lunca,157348,402316
409,30014,Madaras,160350,371771
410,30069,Magesti,287624,395338
411,30149,Nojorid,158443,405009
412,30229,Olcea,161445,374464
413,30274,Osorhei,288719,398031
414,30336,Pietroasa,159538,407702
415,30416,Pocola,162540,377157
416,30470,Pomezeu,289814,400724
417,30568,Popesti,160633,410395
418,30648,Rabagani,163635,379850
419,30719,Remetea,290909,403417
420,30773,Rieni,161728,413088
421,30844,Rosia,164730,382543
422,30871,Sacadat,292004,406110
423,30915,Oras Sacueni,162823,415781
424,30988,Salacea,165825,385236
425,31011,Salard,293099,408803
426,31057,Sambata,163918,418474
427,31128,Sarbi,166920,387929
428,31208,Spinus,294194,411496
429,31262,Suplacu De Barcau,165013,421167
430,31333,Simian,168015,390622
431,31379,Sinteu,295289,414189
432,31422,Soimi,166108,423860
433,31510,Suncuius,169110,393315
434,31565,Tarcea,296384,416882
435,31609,Tarcaia,167203,426553
436,31654,Tauteu,170205,396008
437,31716,Tileagd,297479,419575
438,31789,Tinca,168298,429246
439,31841,Tulca,171300,398701
440,31878,Tetchea,298574,422268
441,31921,Uileacu De Beius,169393,431939
442,31976,Vadu Crisului,172395,401394
443,32027,Oras Valea Lui Mihai,299669,424961
444,32045,Viisoara,170488,434632
445,32090,Varciorog,173490,404087
446,32153,Tamaseu,300764,427654
447,32161,Paleu,171583,437325
448,32179,Sannicolau Roman,174585,406780
449,32187,Rosiori,301859,430347
450,32195,Gepiu,172678,440018
451,32201,Toboliu,175680,409473
452,32394,Municipiul Bistrita,302954,433040
453,32483,Oras Beclean,173773,442711
454,32544,Oras Nasaud,176775,412166
455,32599,Oras Sangeorz-Bai,304049,435733
456,32633,Bistrita Bargaului,174868,445404
457,32660,Branistea,177870,414859
458,32704,Budacu De Jos,305144,438426
459,32768,Budesti,175963,448097
460,32811,Caianu Mic,178965,417552
461,32884,Cetate,306239,441119
462,32955,Ciceu-Giurgesti,177058,450790
463,33015,Chiochis,180060,420245
464,33122,Chiuza,307334,443812
465,33177,Cosbuc,178153,453483
466,33202,Dumitra,181155,422938
467,33248,Feldru,308429,446505
468,33275,Galatii Bistritei,179248,456176
469,33337,Ilva Mare,182250,425631
470,33364,Ilva Mica,309524,449198
471,33382,Josenii Bargaului,180343,458869
472,33435,Lechinta,183345,428324
473,33514,Lesu,310619,451891
474,33541,Livezile,181438,461562
475,33603,Lunca Ilvei,184440,431017
476,33621,Maieru,311714,454584
477,33658,Matei,182533,464255
478,33729,Magura Ilvei,185535,433710
479,33765,Mariselu,312809,457277
480,33845,Micestii De Campie,183628,466948
481,33881,Milas,186630,436403
482,33952,Monor,313904,459970
483,33989,Nimigea,184723,469641
484,34075,Nuseni,187725,439096
485,34155,Parva,314999,462663
486,34173,Petru Rares,185818,472334
487,34235,Prundu Bargaului,188820,441789
488,34262,Rebra,316094,465356
489,34280,Rebrisoara,186913,475027
490,34333,Rodna,189915,444482
491,34360,Romuli,317189,468049
492,34397,Salva,188008,477720
493,34422,Silivasu De Campie,191010,447175
494,34477,Sanmihaiu De Campie,318284,470742
495,34547,Spermezeu,189103,480413
496,34618,Sant,192105,449868
497,34645,Sieu,319379,473435
498,34690,Sieu-Magherus,190198,483106
499,34770,Sieu-Odorhei,193200,452561
500,34850,Sieut,320474,476128
501,34903,Sintereag,191293,485799
502,34985,Teaca,194295,455254
503,35054,Telciu,321569,478821
504,35090,Tiha Bargaului,192388,488492
505,35152,Tarlisua,195390,457947
506,35269,Uriu,322664,481514
507,35312,Urmenis,193483,491185
508,35429,Zagra,196485,460640
509,35731,Municipiul Botosani,323759,484207
510,35759,Curtesti,194578,493878
511,35839,Rachiti,197580,463333
512,35884,Stauceni,324854,486900
513,35946,Oras Darabani,195673,496571
514,36006,Municipiul Dorohoi,198675,466026
515,36060,Oras Saveni,325949,489593
516,36131,Albesti,196768,499264
517,36202,Avrameni,199770,468719
518,36300,Baluseni,327044,492286
519,36373,Braesti,197863,501957
520,36426,Broscauti,200865,471412
521,36453,Oras Bucecea,328139,494979
522,36499,Calarasi,198958,504650
523,36532,Concesti,201960,474105
524,36569,Copalau,329234,497672
525,36649,Cordareni,200053,507343
526,36676,Corlateni,203055,476798
527,36756,Corni,330329,500365
528,36809,Cotusca,201148,510036
529,36907,Cristesti,204150,479491
530,36952,Cristinesti,331424,503058
531,37011,Dersca,202243,512729
532,37057,Dangeni,205245,482184
533,37100,Dobarceni,332519,505751
534,37173,Draguseni,203338,515422
535,37217,Durnesti,206340,484877
536,37280,Oras Flamanzi,333614,508444
537,37324,Frumusica,204433,518115
538,37397,George Enescu,207435,487570
539,37459,Gorbanesti,334709,511137
540,37547,Havarna,205528,520808
541,37618,Hanesti,208530,490263
542,37672,Hiliseu-Horia,335804,513830
543,37734,Hlipiceni,206623,523501
544,37770,Hudesti,209625,492956
545,37823,Ibanesti,336899,516523
546,37850,Leorda,207718,526194
547,37912,Lunca,210720,495649
548,37958,Manoleasa,337994,519216
549,38063,Mihai Eminescu,208813,528887
550,38161,Mihaileni,211815,498342
551,38241,Mihalaseni,339089,521909
552,38321,Mileanca,209908,531580
553,38376,Mitoc,212910,501035
554,38456,Nicseni,340184,524602
555,38492,Paltinis,211003,534273
556,38544,Pomarla,214005,503728
557,38580,Prajeni,341279,527295
558,38633,Radauti-Prut,212098,536966
559,38679,Rauseni,215100,506421
560,38731,Ripiceni,342374,529988
561,38811,Roma,213193,539659
562,38848,Romanesti,216195,509114
563,38893,Santa Mare,343469,532681
564,38982,Suharau,214288,542352
565,39051,Sulita,217290,511807
566,39122,Sendriceni,344564,535374
567,39168,Oras Stefanesti,215383,545045
568,39220,Stiubieni,218385,514500
569,39266,Todireni,345659,538067
570,39328,Trusesti,216478,547738
571,39391,Tudora,219480,517193
572,39417,Ungureni,346754,540760
573,39532,Unteni,217573,550431
574,39612,Vaculesti,220575,519886
575,39658,Viisoara,347849,543453
576,39694,Varfu Campului,218668,553124
577,39738,Vladeni,221670,522579
578,39792,Vlasinesti,348944,546146
579,39836,Vorniceni,219763,555817
580,39872,Vorona,222765,525272
581,39942,Lozna,350039,548839
582,39959,Dimacheni,220858,558510
583,39967,Candesti,223860,527965
584,39975,Cosula,351134,551532
585,39983,Blandesti,221953,561203
586,40035,Adaseni,224955,530658
587,40198,Municipiul Brasov,352229,554225
588,40214,Oras Ghimbav,223048,563896
589,40241,Municipiul Codlea,226050,533351
590,40278,Municipiul Fagaras,353324,556918
591,40303,Oras Predeal,224143,566589
592,40367,Oras Rasnov,227145,536044
593,40394,Oras Rupea,354419,559611
594,40438,Municipiul Sacele,225238,569282
595,40465,Oras Victoria,228240,538737
596,40492,Oras Zarnesti,355514,562304
597,40526,Apata,226333,571975
598,40544,Beclean,229335,541430
599,40606,Bod,356609,564997
600,40633,Bran,227428,574668
601,40688,Budila,230430,544123
602,40704,Bunesti,357704,567690
603,40768,Cata,228523,577361
604,40820,Cincu,231525,546816
605,40857,Comana,358799,570383
606,40900,Cristian,229618,580054
607,40928,Dumbravita,232620,549509
608,40955,Feldioara,359894,573076
609,40991,Fundata,230713,582747
610,41033,Halchiu,233715,552202
611,41088,Harman,360989,575769
612,41113,Harseni,231808,585440
613,41177,Hoghiz,234810,554895
614,41248,Homorod,362084,578462
615,41284,Jibert,232903,588133
616,41346,Lisa,235905,557588
617,41382,Maierus,363179,581155
618,41417,Mandra,233998,590826
619,41471,Moieciu,237000,560281
620,41541,Ormenis,364274,583848
621,41578,Parau,235093,593519
622,41621,Poiana Marului,238095,562974
623,41667,Prejmer,365369,586541
624,41701,Racos,236188,596212
625,41738,Recea,239190,565667
626,41818,Sercaia,366464,589234
627,41854,Sinca,237283,598905
628,41925,Sanpetru,240285,568360
629,41943,Soars,367559,591927
630,42003,Tarlungeni,238378,601598
631,42058,Teliu,241380,571053
632,42076,Ticusu,368654,594620
633,42101,Ucea,239473,604291
634,42156,Ungra,242475,573746
635,42183,Vama Buzaului,369749,597313
636,42236,Vistea,240568,606984
637,42307,Voila,243570,576439
638,42398,Vulcan,370844,600006
639,42449,Sinca Noua,241663,609677
640,42456,Crizbav,244665,579132
641,42464,Sambata De Sus,371939,602699
642,42472,Holbav,242758,612370
643,42480,Dragus,245760,581825
644,42498,Augustin,373034,605392
645,42682,Municipiul Braila,243853,615063
646,42708,Chiscani,246855,584518
647,42753,Oras Faurei,374129,608085
648,42771,Surdila-Greci,244948,617756
649,42824,Baraganul,247950,587211
650,42842,Bertestii De Jos,375224,610778
651,42913,Bordei Verde,246043,620449
652,42968,Ciocile,249045,589904
653,43019,Ciresu,376319,613471
654,43073,Dudesti,247138,623142
655,43117,Frecatei,250140,592597
656,43180,Galbenu,377414,616164
657,43242,Gemenele,248233,625835
658,43279,Gradistea,251235,595290
659,43313,Gropeni,378509,618857
660,43331,Oras Ianca,249328,628528
661,43411,Oras Insuratei,252330,597983
662,43466,Jirlau,379604,621550
663,43493,Marasu,250423,631221
664,43563,Maxineni,253425,600676
665,43625,Mircea Voda,380699,624243
666,43652,Movila Miresii,251518,633914
667,43698,Racovita,254520,603369
668,43732,Ramnicelu,381794,626936
669,43787,Romanu,252613,636607
670,43812,Rosiori,255615,606062
671,43867,Salcia Tudor,382889,629629
672,43929,Scortaru Nou,253708,639300
673,43992,Silistea,256710,608755
674,44060,Stancuta,383984,632322
675,44113,Surdila-Gaiseanca,254803,641993
676,44140,Sutesti,257805,611448
677,44177,Tichilesti,385079,635015
678,44202,Traian,255898,644686
679,44257,Tudor Vladimirescu,258900,614141
680,44300,Tufesti,386174,637708
681,44328,Ulmu,256993,647379
682,44355,Unirea,259995,616834
683,44391,Vadeni,387269,640401
684,44435,Victoria,258088,650072
685,44462,Visani,261090,619527
686,44505,Viziru,388364,643094
687,44532,Zavoaia,259183,652765
688,44560,Cazasu,262185,622220
689,44818,Municipiul Buzau,389459,645787
690,44845,Municipiul Ramnicu Sarat,260278,655458
691,44863,Amaru,263280,624913
692,44934,Balta Alba,390554,648480
693,44989,Balaceanu,261373,658151
694,45003,Beceni,264375,627606
695,45101,Berca,391649,651173
696,45245,Bisoca,262468,660844
697,45334,Blajani,265470,630299
698,45361,Boldu,392744,653866
699,45389,Bozioru,263563,663537
700,45496,Bradeanu,266565,632992
701,45539,Braesti,393839,656559
702,45619,Breaza,264658,666230
703,45673,Buda,267660,635685
704,45753,Calvini,394934,659252
705,45815,C.a. Rosetti,265753,668923
706,45888,Canesti,268755,638378
707,45959,Catina,396029,661945
708,46019,Cernatesti,266848,671616
709,46108,Chiliile,269850,641071
710,46180,Chiojdu,397124,664638
711,46251,Cilibia,267943,674309
712,46313,Cislau,270945,643764
713,46377,Cochirleanca,398219,667331
714,46439,Colti,269038,677002
715,46484,Costesti,272040,646457
716,46554,Cozieni,399314,670024
717,46769,Galbinasi,270133,679695
718,46803,Gheraseni,273135,649150
719,46830,Ghergheasa,400409,672717
720,46867,Glodeanu Sarat,271228,682388
721,46910,Glodeanu-Silistea,274230,651843
722,47006,Grebanu,401504,675410
723,47079,Gura Teghii,272323,685081
724,47159,Largu,275325,654536
725,47186,Lopatari,402599,678103
726,47300,Luciu,273418,687774
727,47337,Magura,276420,657229
728,47373,Maracineni,403694,680796
729,47417,Margaritesti,274513,690467
730,47453,Merei,277515,659922
731,47578,Mihailesti,404789,683489
732,47630,Manzalesti,275608,693160
733,47774,Movila Banului,278610,662615
734,47818,Murgesti,405884,686182
735,47854,Naeni,276703,695853
736,47916,Oras Nehoiu,279705,665308
737,48021,Odaile,406979,688875
738,48138,Padina,277798,698546
739,48165,Pardosi,280800,668001
740,48227,Panatau,408074,691568
741,48325,Oras Patarlagele,278893,701239
742,48487,Pietroasele,281895,670694
743,48557,Parscov,409169,694261
744,48682,Podgoria,279988,703932
745,48744,Oras Pogoanele,282990,673387
746,48771,Posta Calnau,410264,696954
747,48842,Puiesti,281083,706625
748,48922,Racoviteni,284085,676080
749,48968,Ramnicelu,411359,699647
750,49019,Robeasca,282178,709318
751,49046,Rusetu,285180,678773
752,49073,Sageata,412454,702340
753,49153,Sahateni,283273,712011
754,49206,Sapoca,286275,681466
755,49233,Sarulesti,413549,705033
756,49313,Scortoasa,284368,714704
757,49439,Scutelnici,287370,684159
758,49484,Siriu,414644,707726
759,49545,Smeeni,285463,717397
760,49625,Stalpu,288465,686852
761,49643,Tisau,415739,710419
762,49769,Topliceni,286558,720090
763,49849,Tintesti,289560,689545
764,49894,Ulmeni,416834,713112
765,49956,Vadu Pasii,287653,722783
766,50022,Valea Ramnicului,290655,692238
767,50068,Valea Salciei,417929,715805
768,50102,Vernesti,288748,725476
769,50228,Vintila Voda,291750,694931
770,50326,Viperesti,419024,718498
771,50399,Valcelele,289843,728169
772,50415,Zarnesti,292845,697624
773,50479,Ziduri,420119,721191
774,50549,Unguriu,290938,730862
775,50564,Florica,293940,700317
776,50790,Municipiul Resita,421214,723884
777,50889,Oras Anina,292033,733555
778,50923,Oras Baile Herculane,295035,703010
779,50969,Oras Bocsa,422309,726577
780,50987,Ocna De Fier,293128,736248
781,51010,Municipiul Caransebes,296130,705703
782,51056,Oras Moldova Noua,423404,729270
783,51118,Oras Oravita,294223,738941
784,51207,Oras Otelu Rosu,297225,708396
785,51243,Armenis,424499,731963
786,51305,Bania,295318,741634
787,51332,Bautar,298320,711089
788,51387,Berliste,425594,734656
789,51449,Berzasca,296413,744327
790,51500,Berzovia,299415,713782
791,51546,Bolvasnita,426689,737349
792,51573,Bozovici,297508,747020
793,51626,Brebu,300510,716475
794,51662,Brebu Nou,427784,740042
