,Siruta,Localitate,Votanti_LP,Barbati_25-34,Barbati_35-44,Barbati_45-64,Barbati_65_,Femei_18-24,Femei_35-44,Femei_45-64,Femei_65_,0
104,10453,Conop,134000,342.0,342.0,1140.0,1140.0,4560,228.0,342.0,1140.0,Femei_35-44
105,10514,Covasint,135000,408.15,408.15,1360.5,1360.5,5442,272.1,408.15,1360.5,Femei_35-44
106,10532,Craiva,136000,434.55,434.55,1448.5,1448.5,5794,289.7,434.55,1448.5,Femei_35-44
107,10649,Dezna,137000,180.9,180.9,603.0,603.0,2412,120.6,180.9,603.0,Femei_35-44
108,10701,Dieci,138000,223.5,223.5,745.0,745.0,2980,149.0,223.5,745.0,Femei_35-44
109,10765,Ususau,139000,213.0,213.0,710.0,710.0,2840,142.0,213.0,710.0,Femei_35-44
110,10827,Felnac,140000,471.45,471.45,1571.5,1571.5,6286,314.3,471.45,1571.5,Femei_35-44
111,10872,Ghioroc,141000,612.6,612.6,2042.0,2042.0,8168,408.4,612.6,2042.0,Femei_35-44
112,10916,Graniceri,142000,381.75,381.75,1272.5,1272.5,5090,254.5,381.75,1272.5,Femei_35-44
113,10943,Gurahont,143000,585.0,585.0,1950.0,1950.0,7800,390.0,585.0,1950.0,Femei_35-44
114,11058,Halmagiu,144000,414.9,414.9,1383.0,1383.0,5532,276.6,414.9,1383.0,Femei_35-44
115,11174,Halmagel,145000,183.9,183.9,613.0,613.0,2452,122.6,183.9,613.0,Femei_35-44
116,11236,Hasmas,146000,190.35,190.35,634.5,634.5,2538,126.9,190.35,634.5,Femei_35-44
117,11307,Ignesti,147000,108.15,108.15,360.5,360.5,1442,72.1,108.15,360.5,Femei_35-44
118,11352,Iratosu,148000,383.55,383.55,1278.5,1278.5,5114,255.7,383.55,1278.5,Femei_35-44
119,11398,Macea,149000,1074.9,1074.9,3583.0,3583.0,14332,716.6,1074.9,3583.0,Femei_35-44
120,11423,Misca,150000,568.05,568.05,1893.5,1893.5,7574,378.7,568.05,1893.5,Femei_35-44
121,11478,Moneasa,151000,138.0,138.0,460.0,460.0,1840,92.0,138.0,460.0,Femei_35-44
122,11502,Olari,152000,300.9,300.9,1003.0,1003.0,4012,200.6,300.9,1003.0,Femei_35-44
123,11539,Paulis,153000,651.0,651.0,2170.0,2170.0,8680,434.0,651.0,2170.0,Femei_35-44
124,11584,Oras Pecica,154000,2118.6,2118.6,7062.0,7062.0,28248,1412.4,2118.6,7062.0,Femei_35-44
125,11637,Peregu Mare,155000,271.05,271.05,903.5,903.5,3614,180.7,271.05,903.5,Femei_35-44
126,11664,Petris,156000,207.3,207.3,691.0,691.0,2764,138.2,207.3,691.0,Femei_35-44
127,11735,Pilu,157000,327.45,327.45,1091.5,1091.5,4366,218.3,327.45,1091.5,Femei_35-44
128,11762,Plescuta,158000,174.15,174.15,580.5,580.5,2322,116.1,174.15,580.5,Femei_35-44
129,11842,Savarsin,159000,438.75,438.75,1462.5,1462.5,5850,292.5,438.75,1462.5,Femei_35-44
130,11940,Secusigiu,160000,932.4,932.4,3108.0,3108.0,12432,621.6,932.4,3108.0,Femei_35-44
131,11995,Seleus,161000,448.05,448.05,1493.5,1493.5,5974,298.7,448.05,1493.5,Femei_35-44
132,12037,Semlac,162000,635.4,635.4,2118.0,2118.0,8472,423.6,635.4,2118.0,Femei_35-44
133,12055,Sintea Mare,163000,576.6,576.6,1922.0,1922.0,7688,384.4,576.6,1922.0,Femei_35-44
134,12091,Oras Santana,164000,2345.4,2345.4,7818.0,7818.0,31272,1563.6,2345.4,7818.0,Femei_35-44
135,12126,Socodor,165000,341.55,341.55,1138.5,1138.5,4554,227.7,341.55,1138.5,Femei_35-44
136,12144,Sagu,166000,623.85,623.85,2079.5,2079.5,8318,415.9,623.85,2079.5,Femei_35-44
137,12206,Seitin,167000,463.65,463.65,1545.5,1545.5,6182,309.1,463.65,1545.5,Femei_35-44
138,12224,Sepreus,168000,436.05,436.05,1453.5,1453.5,5814,290.7,436.05,1453.5,Femei_35-44
139,12242,Sicula,169000,641.55,641.55,2138.5,2138.5,8554,427.7,641.55,2138.5,Femei_35-44
140,12288,Silindia,170000,131.25,131.25,437.5,437.5,1750,87.5,131.25,437.5,Femei_35-44
141,12340,Simand,171000,664.95,664.95,2216.5,2216.5,8866,443.3,664.95,2216.5,Femei_35-44
142,12368,Siria,172000,1362.45,1362.45,4541.5,4541.5,18166,908.3,1362.45,4541.5,Femei_35-44
143,12402,Sistarovat,173000,47.85,47.85,159.5,159.5,638,31.9,47.85,159.5,Femei_35-44
144,12457,Taut,174000,249.75,249.75,832.5,832.5,3330,166.5,249.75,832.5,Femei_35-44
145,12509,Tarnova,175000,930.45,930.45,3101.5,3101.5,12406,620.3,930.45,3101.5,Femei_35-44
146,12572,Varadia De Mures,176000,252.75,252.75,842.5,842.5,3370,168.5,252.75,842.5,Femei_35-44
147,12643,Vinga,177000,1029.9,1029.9,3433.0,3433.0,13732,686.6,1029.9,3433.0,Femei_35-44
148,12689,Varfurile,178000,402.15,402.15,1340.5,1340.5,5362,268.1,402.15,1340.5,Femei_35-44
149,12778,Zabrani,179000,691.05,691.05,2303.5,2303.5,9214,460.7,691.05,2303.5,Femei_35-44
150,12812,Zarand,180000,411.75,411.75,1372.5,1372.5,5490,274.5,411.75,1372.5,Femei_35-44
151,12849,Zerind,181000,216.45,216.45,721.5,721.5,2886,144.3,216.45,721.5,Femei_35-44
152,12876,Zimandu Nou,182000,735.0,735.0,2450.0,2450.0,9800,490.0,735.0,2450.0,Femei_35-44
153,12912,Dorobanti,183000,241.35,241.35,804.5,804.5,3218,160.9,241.35,804.5,Femei_35-44
154,12920,Frumuseni,184000,414.75,414.75,1382.5,1382.5,5530,276.5,414.75,1382.5,Femei_35-44
155,12938,Zadareni,185000,425.7,425.7,1419.0,1419.0,5676,283.8,425.7,1419.0,Femei_35-44
156,13169,Municipiul Pitesti,186000,26520.45,26520.45,88401.5,88401.5,353606,17680.3,26520.45,88401.5,Femei_35-44
157,13187,Bascov,187000,1578.45,1578.45,5261.5,5261.5,21046,1052.3,1578.45,5261.5,Femei_35-44
158,13276,Bradu,188000,1157.1,1157.1,3857.0,3857.0,15428,771.4,1157.1,3857.0,Femei_35-44
159,13301,Oras Mioveni,189000,5183.85,5183.85,17279.5,17279.5,69118,3455.9,5183.85,17279.5,Femei_35-44
160,13365,Maracineni,190000,787.5,787.5,2625.0,2625.0,10500,525.0,787.5,2625.0,Femei_35-44
161,13392,Oras Stefanesti,191000,2285.7,2285.7,7619.0,7619.0,30476,1523.8,2285.7,7619.0,Femei_35-44
162,13490,Municipiul Campulung,192000,5543.25,5543.25,18477.5,18477.5,73910,3695.5,5543.25,18477.5,Femei_35-44
163,13524,Valea Mare Pravat,193000,641.7,641.7,2139.0,2139.0,8556,427.8,641.7,2139.0,Femei_35-44
164,13622,Municipiul Curtea De Arges,194000,5015.85,5015.85,16719.5,16719.5,66878,3343.9,5015.85,16719.5,Femei_35-44
165,13668,Oras Costesti,195000,1596.3,1596.3,5321.0,5321.0,21284,1064.2,1596.3,5321.0,Femei_35-44
166,13757,Oras Topoloveni,196000,1415.85,1415.85,4719.5,4719.5,18878,943.9,1415.85,4719.5,Femei_35-44
167,13819,Albestii De Arges,197000,908.55,908.55,3028.5,3028.5,12114,605.7,908.55,3028.5,Femei_35-44
168,13891,Albestii De Muscel,198000,236.1,236.1,787.0,787.0,3148,157.4,236.1,787.0,Femei_35-44
169,13935,Albota,199000,589.35,589.35,1964.5,1964.5,7858,392.9,589.35,1964.5,Femei_35-44
170,13999,Aninoasa,200000,502.5,502.5,1675.0,1675.0,6700,335.0,502.5,1675.0,Femei_35-44
171,14049,Arefu,201000,369.6,369.6,1232.0,1232.0,4928,246.4,369.6,1232.0,Femei_35-44
172,14085,Babana,202000,434.85,434.85,1449.5,1449.5,5798,289.9,434.85,1449.5,Femei_35-44
173,14165,Baiculesti,203000,916.5,916.5,3055.0,3055.0,12220,611.0,916.5,3055.0,Femei_35-44
174,14272,Balilesti,204000,610.95,610.95,2036.5,2036.5,8146,407.3,610.95,2036.5,Femei_35-44
175,14352,Beleti-Negresti,205000,281.7,281.7,939.0,939.0,3756,187.8,281.7,939.0,Femei_35-44
176,14405,Berevoesti,206000,526.35,526.35,1754.5,1754.5,7018,350.9,526.35,1754.5,Femei_35-44
177,14450,Barla,207000,694.35,694.35,2314.5,2314.5,9258,462.9,694.35,2314.5,Femei_35-44
178,14584,Bogati,208000,674.85,674.85,2249.5,2249.5,8998,449.9,674.85,2249.5,Femei_35-44
179,14673,Boteni,209000,364.35,364.35,1214.5,1214.5,4858,242.9,364.35,1214.5,Femei_35-44
180,14726,Botesti,210000,170.1,170.1,567.0,567.0,2268,113.4,170.1,567.0,Femei_35-44
181,14753,Bradulet,211000,272.4,272.4,908.0,908.0,3632,181.6,272.4,908.0,Femei_35-44
182,14851,Budeasa,212000,619.2,619.2,2064.0,2064.0,8256,412.8,619.2,2064.0,Femei_35-44
183,14922,Bughea De Jos,213000,462.45,462.45,1541.5,1541.5,6166,308.3,462.45,1541.5,Femei_35-44
184,14940,Buzoesti,214000,848.25,848.25,2827.5,2827.5,11310,565.5,848.25,2827.5,Femei_35-44
185,15064,Caldararu,215000,355.05,355.05,1183.5,1183.5,4734,236.7,355.05,1183.5,Femei_35-44
186,15108,Calinesti,216000,1673.85,1673.85,5579.5,5579.5,22318,1115.9,1673.85,5579.5,Femei_35-44
187,15233,Cateasca,217000,558.45,558.45,1861.5,1861.5,7446,372.3,558.45,1861.5,Femei_35-44
188,15313,Cepari,218000,335.4,335.4,1118.0,1118.0,4472,223.6,335.4,1118.0,Femei_35-44
189,15402,Cetateni,219000,451.2,451.2,1504.0,1504.0,6016,300.8,451.2,1504.0,Femei_35-44
190,15448,Cicanesti,220000,315.6,315.6,1052.0,1052.0,4208,210.4,315.6,1052.0,Femei_35-44
191,15493,Ciofrangeni,221000,352.35,352.35,1174.5,1174.5,4698,234.9,352.35,1174.5,Femei_35-44
192,15554,Ciomagesti,222000,172.05,172.05,573.5,573.5,2294,114.7,172.05,573.5,Femei_35-44
193,15652,Cocu,223000,347.85,347.85,1159.5,1159.5,4638,231.9,347.85,1159.5,Femei_35-44
194,15741,Corbeni,224000,882.0,882.0,2940.0,2940.0,11760,588.0,882.0,2940.0,Femei_35-44
195,15830,Corbi,225000,614.25,614.25,2047.5,2047.5,8190,409.5,614.25,2047.5,Femei_35-44
196,15901,Cosesti,226000,792.45,792.45,2641.5,2641.5,10566,528.3,792.45,2641.5,Femei_35-44
197,15983,Cotmeana,227000,286.5,286.5,955.0,955.0,3820,191.0,286.5,955.0,Femei_35-44
198,16132,Cuca,228000,315.3,315.3,1051.0,1051.0,4204,210.2,315.3,1051.0,Femei_35-44
199,16285,Davidesti,229000,466.5,466.5,1555.0,1555.0,6220,311.0,466.5,1555.0,Femei_35-44
200,16329,Dambovicioara,230000,138.75,138.75,462.5,462.5,1850,92.5,138.75,462.5,Femei_35-44
201,16365,Darmanesti,231000,532.8,532.8,1776.0,1776.0,7104,355.2,532.8,1776.0,Femei_35-44
202,16427,Dobresti,232000,267.45,267.45,891.5,891.5,3566,178.3,267.45,891.5,Femei_35-44
203,16454,Domnesti,233000,473.4,473.4,1578.0,1578.0,6312,315.6,473.4,1578.0,Femei_35-44
204,16472,Dragoslavele,234000,394.2,394.2,1314.0,1314.0,5256,262.8,394.2,1314.0,Femei_35-44
205,16506,Draganu,235000,293.25,293.25,977.5,977.5,3910,195.5,293.25,977.5,Femei_35-44
206,16551,Godeni,236000,450.6,450.6,1502.0,1502.0,6008,300.4,450.6,1502.0,Femei_35-44
207,16613,Harsesti,237000,342.9,342.9,1143.0,1143.0,4572,228.6,342.9,1143.0,Femei_35-44
208,16659,Hartiesti,238000,343.5,343.5,1145.0,1145.0,4580,229.0,343.5,1145.0,Femei_35-44
209,16739,Izvoru,239000,329.85,329.85,1099.5,1099.5,4398,219.9,329.85,1099.5,Femei_35-44
210,16757,Leordeni,240000,856.05,856.05,2853.5,2853.5,11414,570.7,856.05,2853.5,Femei_35-44
211,16908,Leresti,241000,696.0,696.0,2320.0,2320.0,9280,464.0,696.0,2320.0,Femei_35-44
212,16944,Lunca Corbului,242000,405.3,405.3,1351.0,1351.0,5404,270.2,405.3,1351.0,Femei_35-44
213,17049,Malureni,243000,702.9,702.9,2343.0,2343.0,9372,468.6,702.9,2343.0,Femei_35-44
214,17101,Merisani,244000,696.45,696.45,2321.5,2321.5,9286,464.3,696.45,2321.5,Femei_35-44
215,17209,Micesti,245000,693.6,693.6,2312.0,2312.0,9248,462.4,693.6,2312.0,Femei_35-44
216,17254,Mihaesti,246000,918.9,918.9,3063.0,3063.0,12252,612.6,918.9,3063.0,Femei_35-44
217,17334,Mioarele,247000,240.15,240.15,800.5,800.5,3202,160.1,240.15,800.5,Femei_35-44
218,17398,Mirosi,248000,355.2,355.2,1184.0,1184.0,4736,236.8,355.2,1184.0,Femei_35-44
219,17423,Moraresti,249000,278.55,278.55,928.5,928.5,3714,185.7,278.55,928.5,Femei_35-44
220,17496,Mosoaia,250000,856.35,856.35,2854.5,2854.5,11418,570.9,856.35,2854.5,Femei_35-44
221,17575,Mozaceni,251000,321.3,321.3,1071.0,1071.0,4284,214.2,321.3,1071.0,Femei_35-44
222,17619,Musatesti,252000,552.6,552.6,1842.0,1842.0,7368,368.4,552.6,1842.0,Femei_35-44
223,17726,Negrasi,253000,307.05,307.05,1023.5,1023.5,4094,204.7,307.05,1023.5,Femei_35-44
224,17771,Nucsoara,254000,216.9,216.9,723.0,723.0,2892,144.6,216.9,723.0,Femei_35-44
225,17824,Oarja,255000,425.25,425.25,1417.5,1417.5,5670,283.5,425.25,1417.5,Femei_35-44
226,17851,Pietrosani,256000,850.5,850.5,2835.0,2835.0,11340,567.0,850.5,2835.0,Femei_35-44
227,17913,Poienarii De Arges,257000,149.85,149.85,499.5,499.5,1998,99.9,149.85,499.5,Femei_35-44
228,17968,Poienarii De Muscel,258000,511.65,511.65,1705.5,1705.5,6822,341.1,511.65,1705.5,Femei_35-44
229,18028,Poiana Lacului,259000,977.25,977.25,3257.5,3257.5,13030,651.5,977.25,3257.5,Femei_35-44
230,18162,Popesti,260000,302.1,302.1,1007.0,1007.0,4028,201.4,302.1,1007.0,Femei_35-44
231,18242,Priboieni,261000,529.8,529.8,1766.0,1766.0,7064,353.2,529.8,1766.0,Femei_35-44
232,18331,Ratesti,262000,459.6,459.6,1532.0,1532.0,6128,306.4,459.6,1532.0,Femei_35-44
233,18411,Recea,263000,415.35,415.35,1384.5,1384.5,5538,276.9,415.35,1384.5,Femei_35-44
234,18475,Rociu,264000,375.6,375.6,1252.0,1252.0,5008,250.4,375.6,1252.0,Femei_35-44
235,18527,Rucar,265000,907.2,907.2,3024.0,3024.0,12096,604.8,907.2,3024.0,Femei_35-44
236,18554,Salatrucu,266000,334.05,334.05,1113.5,1113.5,4454,222.7,334.05,1113.5,Femei_35-44
237,18581,Sapata,267000,243.9,243.9,813.0,813.0,3252,162.6,243.9,813.0,Femei_35-44
238,18670,Schitu Golesti,268000,761.25,761.25,2537.5,2537.5,10150,507.5,761.25,2537.5,Femei_35-44
239,18741,Slobozia,269000,715.95,715.95,2386.5,2386.5,9546,477.3,715.95,2386.5,Femei_35-44
240,18778,Stalpeni,270000,753.6,753.6,2512.0,2512.0,10048,502.4,753.6,2512.0,Femei_35-44
241,18858,Stoenesti,271000,687.0,687.0,2290.0,2290.0,9160,458.0,687.0,2290.0,Femei_35-44
242,18938,Stolnici,272000,459.9,459.9,1533.0,1533.0,6132,306.6,459.9,1533.0,Femei_35-44
243,19007,Suseni,273000,460.05,460.05,1533.5,1533.5,6134,306.7,460.05,1533.5,Femei_35-44
244,19114,Stefan Cel Mare,274000,354.75,354.75,1182.5,1182.5,4730,236.5,354.75,1182.5,Femei_35-44
245,19141,Suici,275000,367.65,367.65,1225.5,1225.5,4902,245.1,367.65,1225.5,Femei_35-44
