Siruta,Localitate,V1,V2,V3,V4,V5,C1,C2,C3,C4,C5,C6,C7,C8
4240,Daia Romana,900,8838,8520,25,2700,13959,8016,925,407,6331,424,16918,13325
4268,Dostat,1764,11515,7980,26,3442,10405,2815,2463,408,1800,425,1782,9662
4302,Farau,130329,9820,8383,27,5883,10000,5773,4882,409,20382,426,2263,9192
4366,Galda De Jos,1000,9820,8530,28,3000,14959,8305,1025,410,6531,427,17116,14225
4482,Garbova,1864,12497,7990,29,3742,11405,3104,2563,411,2000,428,1980,10562
4525,Garda De Sus,130429,10802,8393,30,6183,11000,6062,4982,412,20582,429,2461,10092
4703,Hoparta,1100,10802,8540,31,3300,15959,8594,1125,413,6731,430,17314,15125
4767,Horea,1964,13479,8000,32,4042,12405,3393,2663,414,2200,431,2178,11462
4927,Ighiu,130529,11784,8403,33,6483,12000,6351,5082,415,20782,432,2659,10992
4981,Intregalde,1200,11784,8550,34,3600,16959,8883,1225,416,6931,433,17512,16025
5103,Jidvei,2064,14461,8010,35,4342,13405,3682,2763,417,2400,434,2376,12362
5167,Livezile,130629,12766,8413,36,6783,13000,6640,5182,418,20982,435,2857,11892
5210,Lopadea Noua,1300,12766,8560,37,3900,17959,9172,1325,419,7131,436,17710,16925
5309,Lunca Muresului,2164,15443,8020,38,4642,14405,3971,2863,420,2600,437,2574,13262
5336,Lupsa,130729,13748,8423,39,7083,14000,6929,5282,421,21182,438,3055,12792
5577,Metes,1400,13748,8570,40,4200,18959,9461,1425,422,7331,439,17908,17825
5700,Mihalt,2264,16425,8030,41,4942,15405,4260,2963,423,2800,440,2772,14162
5755,Miraslau,130829,14730,8433,42,7383,15000,7218,5382,424,21382,441,3253,13692
5826,Mogos,1500,14730,8580,43,4500,19959,9750,1525,425,7531,442,18106,18725
6048,Noslac,2364,17407,8040,44,5242,16405,4549,3063,426,3000,443,2970,15062
6119,Ocolis,130929,15712,8443,45,7683,16000,7507,5482,427,21582,444,3451,14592
6164,Ohaba,1600,15712,8590,46,4800,20959,10039,1625,428,7731,445,18304,19625
6217,Pianu,2464,18389,8050,47,5542,17405,4838,3163,429,3200,446,3168,15962
6271,Poiana Vadului,131029,16694,8453,48,7983,17000,7796,5582,430,21782,447,3649,15492
6397,Ponor,1700,16694,8600,49,5100,21959,10328,1725,431,7931,448,18502,20525
6468,Posaga,2564,19371,8060,50,5842,18405,5127,3263,432,3400,449,3366,16862
6547,Radesti,131129,17676,8463,51,8283,18000,8085,5682,433,21982,450,3847,16392
6592,Rametea,1800,17676,8610,52,5400,22959,10617,1825,434,8131,451,18700,21425
6627,Ramet,2664,20353,8070,53,6142,19405,5416,3363,435,3600,452,3564,17762
6761,Rosia Montana,131229,18658,8473,54,8583,19000,8374,5782,436,22182,453,4045,17292
6930,Rosia De Secas,1900,18658,8620,55,5700,23959,10906,1925,437,8331,454,18898,22325
6976,Salciua,2764,21335,8080,56,6442,20405,5705,3463,438,3800,455,3762,18662
7044,Salistea,131329,19640,8483,57,8883,20000,8663,5882,439,22382,456,4243,18192
7099,Sasciori,2000,19640,8630,58,6000,24959,11195,2025,440,8531,457,19096,23225
7197,Scarisoara,2864,22317,8090,59,6742,21405,5994,3563,441,4000,458,3960,19562
7348,Sancel,131429,20622,8493,60,9183,21000,8952,5982,442,22582,459,4441,19092
7384,Santimbru,2100,20622,8640,61,6300,25959,11484,2125,443,8731,460,19294,24125
7446,Sohodol,2964,23299,8100,62,7042,22405,6283,3663,444,4200,461,4158,20462
7767,Stremt,131529,21604,8503,63,9483,22000,9241,6082,445,22782,462,4639,19992
7810,Sibot,2200,21604,8650,64,6600,26959,11773,2225,446,8931,463,19492,25025
7865,Sona,3064,24281,8110,65,7342,23405,6572,3763,447,4400,464,4356,21362
7945,Spring,131629,22586,8513,66,9783,23000,9530,6182,448,22982,465,4837,20892
8014,Sugag,2300,22586,8660,67,6900,27959,12062,2325,449,9131,466,19690,25925
8096,Oras Teius,3164,25263,8120,68,7642,24405,6861,3863,450,4600,467,4554,22262
8158,Unirea,131729,23568,8523,69,10083,24000,9819,6282,451,23182,468,5035,21792
8229,Vadu Motilor,2400,23568,8670,70,7200,28959,12351,2425,452,9331,469,19888,26825
8354,Valea Lunga,3264,26245,8130,71,7942,25405,7150,3963,453,4800,470,4752,23162
8425,Vidra,131829,24550,8533,72,10383,25000,10108,6382,454,23382,471,5233,22692
8826,Vintu De Jos,2500,24550,8680,73,7500,29959,12640,2525,455,9531,472,20086,27725
9019,Cut,3364,27227,8140,74,8242,26405,7439,4063,456,5000,473,4950,24062
9026,Bucerdea Granoasa,131929,25532,8543,75,10683,26000,10397,6482,457,23582,474,5431,23592
9262,Municipiul Arad,2600,25532,8690,76,7800,30959,12929,2625,458,9731,475,20284,28625
9280,Fantanele,3464,28209,8150,77,8542,27405,7728,4163,459,5200,476,5148,24962
9333,Livada,132029,26514,8553,78,10983,27000,10686,6582,460,23782,477,5629,24492
9360,Sofronea,2700,26514,8700,79,8100,31959,13218,2725,461,9931,478,20482,29525
9397,Vladimirescu,3564,29191,8160,80,8842,28405,8017,4263,462,5400,479,5346,25862
9459,Oras Chisineu-Cris,132129,27496,8563,81,11283,28000,10975,6682,463,23982,480,5827,25392
9495,Oras Curtici,2800,27496,8710,82,8400,32959,13507,2825,464,10131,481,20680,30425
9538,Oras Ineu,3664,30173,8170,83,9142,29405,8306,4363,465,5600,482,5544,26762
9574,Oras Lipova,132229,28478,8573,84,11583,29000,11264,6782,466,24182,483,6025,26292
9627,Oras Nadlac,2900,28478,8720,85,8700,33959,13796,2925,467,10331,484,20878,31325
9654,Oras Pancota,3764,31155,8180,86,9442,30405,8595,4463,468,5800,485,5742,27662
9690,Oras Sebis,132329,29460,8583,87,11883,30000,11553,6882,469,24382,486,6223,27192
9743,Almas,3000,29460,8730,88,9000,34959,14085,3025,470,10531,487,21076,32225
9798,Apateu,3864,32137,8190,89,9742,31405,8884,4563,471,6000,488,5940,28562
9832,Archis,132429,30442,8593,90,12183,31000,11842,6982,472,24582,489,6421,28092
9887,Bata,3100,30442,8740,91,9300,35959,14374,3125,473,10731,490,21274,33125
9930,Beliu,3964,33119,8200,92,10042,32405,9173,4663,474,6200,491,6138,29462
10006,Birchis,132529,31424,8603,93,12483,32000,12131,7082,475,24782,492,6619,28992
10051,Barsa,3200,31424,8750,94,9600,36959,14663,3225,476,10931,493,21472,34025
10104,Barzava,4064,34101,8210,95,10342,33405,9462,4763,477,6400,494,6336,30362
10195,Bocsig,132629,32406,8613,96,12783,33000,12420,7182,478,24982,495,6817,29892
10239,Brazii,3300,32406,8760,97,9900,37959,14952,3325,479,11131,496,21670,34925
10293,Buteni,4164,35083,8220,98,10642,34405,9751,4863,480,6600,497,6534,31262
10346,Carand,132729,33388,8623,99,13083,34000,12709,7282,481,25182,498,7015,30792
10373,Cermei,3400,33388,8770,100,10200,38959,15241,3425,482,11331,499,21868,35825
10417,Chisindia,4264,36065,8230,101,10942,35405,10040,4963,483,6800,500,6732,32162
10453,Conop,132829,34370,8633,102,13383,35000,12998,7382,484,25382,501,7213,31692
10514,Covasint,3500,34370,8780,103,10500,39959,15530,3525,485,11531,502,22066,36725
10532,Craiva,4364,37047,8240,104,11242,36405,10329,5063,486,7000,503,6930,33062
10649,Dezna,132929,35352,8643,105,13683,36000,13287,7482,487,25582,504,7411,32592
10701,Dieci,3600,35352,8790,106,10800,40959,15819,3625,488,11731,505,22264,37625
10765,Ususau,4464,38029,8250,107,11542,37405,10618,5163,489,7200,506,7128,33962
10827,Felnac,133029,36334,8653,108,13983,37000,13576,7582,490,25782,507,7609,33492
10872,Ghioroc,3700,36334,8800,109,11100,41959,16108,3725,491,11931,508,22462,38525
10916,Graniceri,4564,39011,8260,110,11842,38405,10907,5263,492,7400,509,7326,34862
10943,Gurahont,133129,37316,8663,111,14283,38000,13865,7682,493,25982,510,7807,34392
11058,Halmagiu,3800,37316,8810,112,11400,42959,16397,3825,494,12131,511,22660,39425
11174,Halmagel,4664,39993,8270,113,12142,39405,11196,5363,495,7600,512,7524,35762
11236,Hasmas,133229,38298,8673,114,14583,39000,14154,7782,496,26182,513,8005,35292
11307,Ignesti,3900,38298,8820,115,11700,43959,16686,3925,497,12331,514,22858,40325
11352,Iratosu,4764,40975,8280,116,12442,40405,11485,5463,498,7800,515,7722,36662
11398,Macea,133329,39280,8683,117,14883,40000,14443,7882,499,26382,516,8203,36192
11423,Misca,4000,39280,8830,118,12000,44959,16975,4025,500,12531,517,23056,41225
11478,Moneasa,4864,41957,8290,119,12742,41405,11774,5563,501,8000,518,7920,37562
11502,Olari,133429,40262,8693,120,15183,41000,14732,7982,502,26582,519,8401,37092
11539,Paulis,4100,40262,8840,121,12300,45959,17264,4125,503,12731,520,23254,42125
11584,Oras Pecica,4964,42939,8300,122,13042,42405,12063,5663,504,8200,521,8118,38462
11637,Peregu Mare,133529,41244,8703,123,15483,42000,15021,8082,505,26782,522,8599,37992
11664,Petris,4200,41244,8850,124,12600,46959,17553,4225,506,12931,523,23452,43025
11735,Pilu,5064,43921,8310,125,13342,43405,12352,5763,507,8400,524,8316,39362
11762,Plescuta,133629,42226,8713,126,15783,43000,15310,8182,508,26982,525,8797,38892
11842,Savarsin,4300,42226,8860,127,12900,47959,17842,4325,509,13131,526,23650,43925
11940,Secusigiu,5164,44903,8320,128,13642,44405,12641,5863,510,8600,527,8514,40262
11995,Seleus,133729,43208,8723,129,16083,44000,15599,8282,511,27182,528,8995,39792
12037,Semlac,4400,43208,8870,130,13200,48959,18131,4425,512,13331,529,23848,44825
12055,Sintea Mare,5264,45885,8330,131,13942,45405,12930,5963,513,8800,530,8712,41162
12091,Oras Santana,133829,44190,8733,132,16383,45000,15888,8382,514,27382,531,9193,40692
12126,Socodor,4500,44190,8880,133,13500,49959,18420,4525,515,13531,532,24046,45725
12144,Sagu,5364,46867,8340,134,14242,46405,13219,6063,516,9000,533,8910,42062
12206,Seitin,133929,45172,8743,135,16683,46000,16177,8482,517,27582,534,9391,41592
12224,Sepreus,4600,45172,8890,136,13800,50959,18709,4625,518,13731,535,24244,46625
12242,Sicula,5464,47849,8350,137,14542,47405,13508,6163,519,9200,536,9108,42962
12288,Silindia,134029,46154,8753,138,16983,47000,16466,8582,520,27782,537,9589,42492
12340,Simand,4700,46154,8900,139,14100,51959,18998,4725,521,13931,538,24442,47525
12368,Siria,5564,48831,8360,140,14842,48405,13797,6263,522,9400,539,9306,43862
12402,Sistarovat,134129,47136,8763,141,17283,48000,16755,8682,523,27982,540,9787,43392
12457,Taut,4800,47136,8910,142,14400,52959,19287,4825,524,14131,541,24640,48425
12509,Tarnova,5664,49813,8370,143,15142,49405,14086,6363,525,9600,542,9504,44762
12572,Varadia De Mures,134229,48118,8773,144,17583,49000,17044,8782,526,28182,543,9985,44292
12643,Vinga,4900,48118,8920,145,14700,53959,19576,4925,527,14331,544,24838,49325
12689,Varfurile,5764,50795,8380,146,15442,50405,14375,6463,528,9800,545,9702,45662
12778,Zabrani,134329,49100,8783,147,17883,50000,17333,8882,529,28382,546,10183,45192
12812,Zarand,5000,49100,8930,148,15000,54959,19865,5025,530,14531,547,25036,50225
12849,Zerind,5864,51777,8390,149,15742,51405,14664,6563,531,10000,548,9900,46562
12876,Zimandu Nou,134429,50082,8793,150,18183,51000,17622,8982,532,28582,549,10381,46092
12912,Dorobanti,5100,50082,8940,151,15300,55959,20154,5125,533,14731,550,25234,51125
12920,Frumuseni,5964,52759,8400,152,16042,52405,14953,6663,534,10200,551,10098,47462
12938,Zadareni,134529,51064,8803,153,18483,52000,17911,9082,535,28782,552,10579,46992
13169,Municipiul Pitesti,5200,51064,8950,154,15600,56959,20443,5225,536,14931,553,25432,52025
13187,Bascov,6064,53741,8410,155,16342,53405,15242,6763,537,10400,554,10296,48362
13276,Bradu,134629,52046,8813,156,18783,53000,18200,9182,538,28982,555,10777,47892
13301,Oras Mioveni,5300,52046,8960,157,15900,57959,20732,5325,539,15131,556,25630,52925
13365,Maracineni,6164,54723,8420,158,16642,54405,15531,6863,540,10600,557,10494,49262
13392,Oras Stefanesti,134729,53028,8823,159,19083,54000,18489,9282,541,29182,558,10975,48792
13490,Municipiul Campulung,5400,53028,8970,160,16200,58959,21021,5425,542,15331,559,25828,53825
13524,Valea Mare Pravat,6264,55705,8430,161,16942,55405,15820,6963,543,10800,560,10692,50162
13622,Municipiul Curtea De Arges,134829,54010,8833,162,19383,55000,18778,9382,544,29382,561,11173,49692
13668,Oras Costesti,5500,54010,8980,163,16500,59959,21310,5525,545,15531,562,26026,54725
13757,Oras Topoloveni,6364,56687,8440,164,17242,56405,16109,7063,546,11000,563,10890,51062
13819,Albestii De Arges,134929,54992,8843,165,19683,56000,19067,9482,547,29582,564,11371,50592
13891,Albestii De Muscel,5600,54992,8990,166,16800,60959,21599,5625,548,15731,565,26224,55625
13935,Albota,6464,57669,8450,167,17542,57405,16398,7163,549,11200,566,11088,51962
13999,Aninoasa,135029,55974,8853,168,19983,57000,19356,9582,550,29782,567,11569,51492
14049,Arefu,5700,55974,9000,169,17100,61959,21888,5725,551,15931,568,26422,56525
14085,Babana,6564,58651,8460,170,17842,58405,16687,7263,552,11400,569,11286,52862
14165,Baiculesti,135129,56956,8863,171,20283,58000,19645,9682,553,29982,570,11767,52392
14272,Balilesti,5800,56956,9010,172,17400,62959,22177,5825,554,16131,571,26620,57425
14352,Beleti-Negresti,6664,59633,8470,173,18142,59405,16976,7363,555,11600,572,11484,53762
14405,Berevoesti,135229,57938,8873,174,20583,59000,19934,9782,556,30182,573,11965,53292
14450,Barla,5900,57938,9020,175,17700,63959,22466,5925,557,16331,574,26818,58325
14584,Bogati,6764,60615,8480,176,18442,60405,17265,7463,558,11800,575,11682,54662
14673,Boteni,135329,58920,8883,177,20883,60000,20223,9882,559,30382,576,12163,54192
14726,Botesti,6000,58920,9030,178,18000,64959,22755,6025,560,16531,577,27016,59225
14753,Bradulet,6864,61597,8490,179,18742,61405,17554,7563,561,12000,578,11880,55562
14851,Budeasa,135429,59902,8893,180,21183,61000,20512,9982,562,30582,579,12361,55092
14922,Bughea De Jos,6100,59902,9040,181,18300,65959,23044,6125,563,16731,580,27214,60125
14940,Buzoesti,6964,62579,8500,182,19042,62405,17843,7663,564,12200,581,12078,56462
15064,Caldararu,135529,60884,8903,183,21483,62000,20801,10082,565,30782,582,12559,55992
15108,Calinesti,6200,60884,9050,184,18600,66959,23333,6225,566,16931,583,27412,61025
15233,Cateasca,7064,63561,8510,185,19342,63405,18132,7763,567,12400,584,12276,57362
15313,Cepari,135629,61866,8913,186,21783,63000,21090,10182,568,30982,585,12757,56892
15402,Cetateni,6300,61866,9060,187,18900,67959,23622,6325,569,17131,586,27610,61925
15448,Cicanesti,7164,64543,8520,188,19642,64405,18421,7863,570,12600,587,12474,58262
15493,Ciofrangeni,135729,62848,8923,189,22083,64000,21379,10282,571,31182,588,12955,57792
15554,Ciomagesti,6400,62848,9070,190,19200,68959,23911,6425,572,17331,589,27808,62825
15652,Cocu,7264,65525,8530,191,19942,65405,18710,7963,573,12800,590,12672,59162
15741,Corbeni,135829,63830,8933,192,22383,65000,21668,10382,574,31382,591,13153,58692
15830,Corbi,6500,63830,9080,193,19500,69959,24200,6525,575,17531,592,28006,63725
15901,Cosesti,7364,66507,8540,194,20242,66405,18999,8063,576,13000,593,12870,60062
15983,Cotmeana,135929,64812,8943,195,22683,66000,21957,10482,577,31582,594,13351,59592
16132,Cuca,6600,64812,9090,196,19800,70959,24489,6625,578,17731,595,28204,64625
16285,Davidesti,7464,67489,8550,197,20542,67405,19288,8163,579,13200,596,13068,60962
16329,Dambovicioara,136029,65794,8953,198,22983,67000,22246,10582,580,31782,597,13549,60492
16365,Darmanesti,6700,65794,9100,199,20100,71959,24778,6725,581,17931,598,28402,65525
16427,Dobresti,7564,68471,8560,200,20842,68405,19577,8263,582,13400,599,13266,61862
16454,Domnesti,136129,66776,8963,201,23283,68000,22535,10682,583,31982,600,13747,61392
16472,Dragoslavele,6800,66776,9110,202,20400,72959,25067,6825,584,18131,601,28600,66425
16506,Draganu,7664,69453,8570,203,21142,69405,19866,8363,585,13600,602,13464,62762
16551,Godeni,136229,67758,8973,204,23583,69000,22824,10782,586,32182,603,13945,62292
16613,Harsesti,6900,67758,9120,205,20700,73959,25356,6925,587,18331,604,28798,67325
16659,Hartiesti,7764,70435,8580,206,21442,70405,20155,8463,588,13800,605,13662,63662
16739,Izvoru,136329,68740,8983,207,23883,70000,23113,10882,589,32382,606,14143,63192
16757,Leordeni,7000,68740,9130,208,21000,74959,25645,7025,590,18531,607,28996,68225
16908,Leresti,7864,71417,8590,209,21742,71405,20444,8563,591,14000,608,13860,64562
16944,Lunca Corbului,136429,69722,8993,210,24183,71000,23402,10982,592,32582,609,14341,64092
17049,Malureni,7100,69722,9140,211,21300,75959,25934,7125,593,18731,610,29194,69125
17101,Merisani,7964,72399,8600,212,22042,72405,20733,8663,594,14200,611,14058,65462
17209,Micesti,136529,70704,9003,213,24483,72000,23691,11082,595,32782,612,14539,64992
17254,Mihaesti,7200,70704,9150,214,21600,76959,26223,7225,596,18931,613,29392,70025
17334,Mioarele,8064,73381,8610,215,22342,73405,21022,8763,597,14400,614,14256,66362
17398,Mirosi,136629,71686,9013,216,24783,73000,23980,11182,598,32982,615,14737,65892
17423,Moraresti,7300,71686,9160,217,21900,77959,26512,7325,599,19131,616,29590,70925
17496,Mosoaia,8164,74363,8620,218,22642,74405,21311,8863,600,14600,617,14454,67262
17575,Mozaceni,136729,72668,9023,219,25083,74000,24269,11282,601,33182,618,14935,66792
17619,Musatesti,7400,72668,9170,220,22200,78959,26801,7425,602,19331,619,29788,71825
17726,Negrasi,8264,75345,8630,221,22942,75405,21600,8963,603,14800,620,14652,68162
17771,Nucsoara,136829,73650,9033,222,25383,75000,24558,11382,604,33382,621,15133,67692
17824,Oarja,7500,73650,9180,223,22500,79959,27090,7525,605,19531,622,29986,72725
17851,Pietrosani,8364,76327,8640,224,23242,76405,21889,9063,606,15000,623,14850,69062
17913,Poienarii De Arges,136929,74632,9043,225,25683,76000,24847,11482,607,33582,624,15331,68592
17968,Poienarii De Muscel,7600,74632,9190,226,22800,80959,27379,7625,608,19731,625,30184,73625
18028,Poiana Lacului,8464,77309,8650,227,23542,77405,22178,9163,609,15200,626,15048,69962
18162,Popesti,137029,75614,9053,228,25983,77000,25136,11582,610,33782,627,15529,69492
18242,Priboieni,7700,75614,9200,229,23100,81959,27668,7725,611,19931,628,30382,74525
18331,Ratesti,8564,78291,8660,230,23842,78405,22467,9263,612,15400,629,15246,70862
18411,Recea,137129,76596,9063,231,26283,78000,25425,11682,613,33982,630,15727,70392
18475,Rociu,7800,76596,9210,232,23400,82959,27957,7825,614,20131,631,30580,75425
18527,Rucar,8664,79273,8670,233,24142,79405,22756,9363,615,15600,632,15444,71762
18554,Salatrucu,137229,77578,9073,234,26583,79000,25714,11782,616,34182,633,15925,71292
18581,Sapata,7900,77578,9220,235,23700,83959,28246,7925,617,20331,634,30778,76325
18670,Schitu Golesti,8764,80255,8680,236,24442,80405,23045,9463,618,15800,635,15642,72662
18741,Slobozia,137329,78560,9083,237,26883,80000,26003,11882,619,34382,636,16123,72192
18778,Stalpeni,8000,78560,9230,238,24000,84959,28535,8025,620,20531,637,30976,77225
18858,Stoenesti,8864,81237,8690,239,24742,81405,23334,9563,621,16000,638,15840,73562
18938,Stolnici,137429,79542,9093,240,27183,81000,26292,11982,622,34582,639,16321,73092
19007,Suseni,8100,79542,9240,241,24300,85959,28824,8125,623,20731,640,31174,78125
19114,Stefan Cel Mare,8964,82219,8700,242,25042,82405,23623,9663,624,16200,641,16038,74462
19141,Suici,137529,80524,9103,243,27483,82000,26581,12082,625,34782,642,16519,73992
19212,Teiu,8200,80524,9250,244,24600,86959,29113,8225,626,20931,643,31372,79025
19249,Tigveni,9064,83201,8710,245,25342,83405,23912,9763,627,16400,644,16236,75362
19338,Titesti,137629,81506,9113,246,27783,83000,26870,12182,628,34982,645,16717,74892
19392,Uda,8300,81506,9260,247,24900,87959,29402,8325,629,21131,646,31570,79925
19560,Ungheni,9164,84183,8720,248,25642,84405,24201,9863,630,16600,647,16434,76262
19631,Valea Danului,137729,82488,9123,249,28083,84000,27159,12282,631,35182,648,16915,75792
19695,Valea Iasului,8400,82488,9270,250,25200,88959,29691,8425,632,21331,649,31768,80825
19793,Vedea,9264,85165,8730,251,25942,85405,24490,9963,633,16800,650,16632,77162
19999,Vladesti,137829,83470,9133,252,28383,85000,27448,12382,634,35382,651,17113,76692
20048,Raca,8500,83470,9280,253,25500,89959,29980,8525,635,21531,652,31966,81725
20055,Vulturesti,9364,86147,8740,254,26242,86405,24779,10063,636,17000,653,16830,78062
20063,Bughea De Sus,137929,84452,9143,255,28683,86000,27737,12482,637,35582,654,17311,77592
20297,Municipiul Bacau,8600,84452,9290,256,25800,90959,30269,8625,638,21731,655,32164,82625
20313,Hemeius,9464,87129,8750,257,26542,87405,25068,10163,639,17200,656,17028,78962
20359,Letea Veche,138029,85434,9153,258,28983,87000,28026,12582,640,35782,657,17509,78492
20411,Magura,8700,85434,9300,259,26100,91959,30558,8725,641,21931,658,32362,83525
20466,Margineni,9564,88111,8760,260,26842,88405,25357,10263,642,17400,659,17226,79862
20563,Municipiul Onesti,138129,86416,9163,261,29283,88000,28315,12682,643,35982,660,17707,79392
20607,Gura Vaii,8800,86416,9310,262,26400,92959,30847,8825,644,22131,661,32560,84425
20670,Stefan Cel Mare,9664,89093,8770,263,27142,89405,25646,10363,645,17600,662,17424,80762
20778,Oras Buhusi,138229,87398,9173,264,29583,89000,28604,12782,646,36182,663,17905,80292
20821,Oras Comanesti,8900,87398,9320,265,26700,93959,31136,8925,647,22331,664,32758,85325
20876,Municipiul Moinesti,9764,90075,8780,266,27442,90405,25935,10463,648,17800,665,17622,81662
20910,Oras Slanic-Moldova,138329,88380,9183,267,29883,90000,28893,12882,649,36382,666,18103,81192
20965,Oras Targu Ocna,9000,88380,9330,268,27000,94959,31425,9025,650,22531,667,32956,86225
21007,Agas,9864,91057,8790,269,27742,91405,26224,10563,651,18000,668,17820,82562
21098,Ardeoani,138429,89362,9193,270,30183,91000,29182,12982,652,36582,669,18301,82092
21123,Asau,9100,89362,9340,271,27300,95959,31714,9125,653,22731,670,33154,87125
21196,Balcani,9964,92039,8800,272,28042,92405,26513,10663,654,18200,671,18018,83462
21249,Beresti-Bistrita,138529,90344,9203,273,30483,92000,29471,13082,655,36782,672,18499,82992
21338,Beresti-Tazlau,9200,90344,9350,274,27600,96959,32003,9225,656,22931,673,33352,88025
21418,Berzunti,10064,93021,8810,275,28342,93405,26802,10763,657,18400,674,18216,84362
21454,Barsanesti,138629,91326,9213,276,30783,93000,29760,13182,658,36982,675,18697,83892
21506,Blagesti,9300,91326,9360,277,27900,97959,32292,9325,659,23131,676,33550,88925
21560,Bogdanesti,10164,94003,8820,278,28642,94405,27091,10863,660,18600,677,18414,85262
21597,Brusturoasa,138729,92308,9223,279,31083,94000,30049,13282,661,37182,678,18895,84792
21668,Buhoci,9400,92308,9370,280,28200,98959,32581,9425,662,23331,679,33748,89825
21720,Casin,10264,94985,8830,281,28942,95405,27380,10963,663,18800,680,18612,86162
21757,Caiuti,138829,93290,9233,282,31383,95000,30338,13382,664,37382,681,19093,85692
21855,Cleja,9500,93290,9380,283,28500,99959,32870,9525,665,23531,682,33946,90725
21891,Colonesti,10364,95967,8840,284,29242,96405,27669,11063,666,19000,683,18810,87062
21971,Corbasca,138929,94272,9243,285,31683,96000,30627,13482,667,37582,684,19291,86592
22059,Cotofanesti,9600,94272,9390,286,28800,100959,33159,9625,668,23731,685,34144,91625
22111,Damienesti,10464,96949,8850,287,29542,97405,27958,11163,669,19200,686,19008,87962
22166,Oras Darmanesti,139029,95254,9253,288,31983,97000,30916,13582,670,37782,687,19489,87492
22237,Dealu Morii,9700,95254,9400,289,29100,101959,33448,9725,671,23931,688,34342,92525
22380,Dofteana,10564,97931,8860,290,29842,98405,28247,11263,672,19400,689,19206,88862
22460,Faraoani,139129,96236,9263,291,32283,98000,31205,13682,673,37982,690,19687,88392
22488,Filipeni,9800,96236,9410,292,29400,102959,33737,9825,674,24131,691,34540,93425
22576,Filipesti,10664,98913,8870,293,30142,99405,28536,11363,675,19600,692,19404,89762
22665,Gaiceana,139229,97218,9273,294,32583,99000,31494,13782,676,38182,693,19885,89292
22718,Ghimes-Faget,9900,97218,9420,295,29700,103959,34026,9925,677,24331,694,34738,94325
22781,Garleni,10764,99895,8880,296,30442,100405,28825,11463,678,19800,695,19602,90662
22834,Glavanesti,139329,98200,9283,297,32883,100000,31783,13882,679,38382,696,20083,90192
22898,Helegiu,10000,98200,9430,298,30000,104959,34315,10025,680,24531,697,34936,95225
22941,Horgesti,10864,100877,8890,299,30742,101405,29114,11563,681,20000,698,19800,91562
23047,Huruiesti,139429,99182,9293,300,33183,101000,32072,13982,682,38582,699,20281,91092
23127,Izvoru Berheciului,10100,99182,9440,301,30300,105959,34604,10125,683,24731,700,35134,96125
23207,Lipova,10964,101859,8900,302,31042,102405,29403,11663,684,20200,701,19998,92462
23289,Livezi,139529,100164,9303,303,33483,102000,32361,14082,685,38782,702,20479,91992
